"ActivityName";"Subject";"temp.Mean";"temp.StandardDeviation"
"WALKING";"5";-0.3785351; 0.4720211
"WALKING_UPSTAIRS";"5";-0.3563535; 0.4711170
"WALKING_DOWNSTAIRS";"5";-0.2969016; 0.4805630
"SITTING";"5";-0.6270148; 0.5318009
"STANDING";"5";-0.6188215; 0.5270590
"LAYING";"5";-0.6317935; 0.5442736
"WALKING";"6";-0.3375134; 0.4647988
"WALKING_UPSTAIRS";"6";-0.3306423; 0.4665239
"WALKING_DOWNSTAIRS";"6";-0.1989224; 0.4830954
"SITTING";"6";-0.6254130; 0.5286374
"STANDING";"6";-0.6292532; 0.5250268
"LAYING";"6";-0.6194214; 0.5343470
"WALKING";"7";-0.3067645; 0.4612861
"WALKING_UPSTAIRS";"7";-0.4274083; 0.4789903
"WALKING_DOWNSTAIRS";"7";-0.3171295; 0.4761599
"SITTING";"7";-0.6288331; 0.5371969
"STANDING";"7";-0.6336901; 0.5289990
"LAYING";"7";-0.6283033; 0.5428944
"WALKING";"8";-0.2997555; 0.4615487
"WALKING_UPSTAIRS";"8";-0.2933778; 0.4652487
"WALKING_DOWNSTAIRS";"8";-0.1935199; 0.4617425
"SITTING";"8";-0.6377265; 0.5381220
"STANDING";"8";-0.6394637; 0.5382315
"LAYING";"8";-0.6270895; 0.5464589
